Code,Chapter,Category,Subcategory,Level 2,Description
"M84.532K","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, left ulna, subsequent encounter for fracture with nonunion"
"S94.20XD","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Injury of deep peroneal nerve at ankle and foot level, unspecified leg, subsequent encounter"
"M84.532G","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, left ulna, subsequent encounter for fracture with delayed healing"
"M84.531S","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, right ulna, sequela"
"M84.531P","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with malunion"
"S94.20XS","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Injury of deep peroneal nerve at ankle and foot level, unspecified leg, sequela"
"M84.531D","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with routine healing"
"M84.531A","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, right ulna, initial encounter for fracture"
"V20.09XA","External causes of morbidity","Transport accidents","-","-","Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
"M84.531K","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with nonunion"
"O35.03X9","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Maternal care for (suspected) central nervous system malformation or damage in fetus, choroid plexus cysts, other fetus"
"V20.09XD","External causes of morbidity","Transport accidents","-","-","Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
"M84.531G","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, right ulna, subsequent encounter for fracture with delayed healing"
"V20.09XS","External causes of morbidity","Transport accidents","-","-","Other motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela"
"S52.363P","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with malunion"
"S52.363Q","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with malunion"
"S52.363N","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"Y37.220A","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Military operations involving explosion of guided missile, military personnel, initial encounter"
"S52.363M","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with nonunion"
"Y37.220D","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Military operations involving explosion of guided missile, military personnel, subsequent encounter"
"S52.363J","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"S52.363K","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion"
