Code,Chapter,Category,Subcategory,Level 2,Description
"T58.94XD","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of carbon monoxide from unspecified source, undetermined, subsequent encounter"
"S21.021D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Laceration with foreign body of right breast, subsequent encounter"
"T58.94XA","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of carbon monoxide from unspecified source, undetermined, initial encounter"
"S36.430A","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Laceration of duodenum, initial encounter"
"S36.430D","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Laceration of duodenum, subsequent encounter"
"H90.0","Diseases of the ear and mastoid process","Other disorders of ear","Conductive and sensorineural hearing loss","-","Conductive hearing loss, bilateral"
"V04.931A","External causes of morbidity","Transport accidents","-","-","Pedestrian on standing electric scooter injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter"
"H90.2","Diseases of the ear and mastoid process","Other disorders of ear","Conductive and sensorineural hearing loss","-","Conductive hearing loss, unspecified"
"H90.3","Diseases of the ear and mastoid process","Other disorders of ear","Conductive and sensorineural hearing loss","-","Sensorineural hearing loss, bilateral"
"H90.6","Diseases of the ear and mastoid process","Other disorders of ear","Conductive and sensorineural hearing loss","-","Mixed conductive and sensorineural hearing loss, bilateral"
"H90.5","Diseases of the ear and mastoid process","Other disorders of ear","Conductive and sensorineural hearing loss","-","Unspecified sensorineural hearing loss"
"H90.8","Diseases of the ear and mastoid process","Other disorders of ear","Conductive and sensorineural hearing loss","-","Mixed conductive and sensorineural hearing loss, unspecified"
"S21.021A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Laceration with foreign body of right breast, initial encounter"
"S36.430S","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Laceration of duodenum, sequela"
"M84.68XG","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, other site, subsequent encounter for fracture with delayed healing"
"M84.68XA","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, other site, initial encounter for fracture"
"M84.68XD","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, other site, subsequent encounter for fracture with routine healing"
"M84.68XP","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, other site, subsequent encounter for fracture with malunion"
"H43.312","Diseases of the eye and adnexa","Disorders of vitreous body and globe","Disorders of vitreous body","-","Vitreous membranes and strands, left eye"
"H43.311","Diseases of the eye and adnexa","Disorders of vitreous body and globe","Disorders of vitreous body","-","Vitreous membranes and strands, right eye"
"H43.313","Diseases of the eye and adnexa","Disorders of vitreous body and globe","Disorders of vitreous body","-","Vitreous membranes and strands, bilateral"
"M84.68XK","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, other site, subsequent encounter for fracture with nonunion"
"H66.3X2","Diseases of the ear and mastoid process","Diseases of middle ear and mastoid","Suppurative and unspecified otitis media","-","Other chronic suppurative otitis media, left ear"
"H66.3X1","Diseases of the ear and mastoid process","Diseases of middle ear and mastoid","Suppurative and unspecified otitis media","-","Other chronic suppurative otitis media, right ear"
"H43.319","Diseases of the eye and adnexa","Disorders of vitreous body and globe","Disorders of vitreous body","-","Vitreous membranes and strands, unspecified eye"
"K91.841","Diseases of the digestive system","Other diseases of the digestive system","Intraoperative and postprocedural complications of digestive system","-","Postprocedural hemorrhage of a digestive system organ or structure following other procedure"
"K91.840","Diseases of the digestive system","Other diseases of the digestive system","Intraoperative and postprocedural complications of digestive system","-","Postprocedural hemorrhage of a digestive system organ or structure following a digestive system procedure"
"H66.3X9","Diseases of the ear and mastoid process","Diseases of middle ear and mastoid","Suppurative and unspecified otitis media","-","Other chronic suppurative otitis media, unspecified ear"
"H66.3X3","Diseases of the ear and mastoid process","Diseases of middle ear and mastoid","Suppurative and unspecified otitis media","-","Other chronic suppurative otitis media, bilateral"
"S52.699S","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, sequela"
"S52.699R","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"S52.699Q","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type I or II with malunion"
"S52.699P","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for closed fracture with malunion"
"S52.699N","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"S52.699M","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion"
"S52.699K","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for closed fracture with nonunion"
"S52.699J","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"S52.699H","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing"
"S52.699G","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for closed fracture with delayed healing"
"S52.699F","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"S52.699E","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing"
"S52.699D","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, subsequent encounter for closed fracture with routine healing"
"S52.699C","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"S52.699B","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, initial encounter for open fracture type I or II"
"S52.699A","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Other fracture of lower end of unspecified ulna, initial encounter for closed fracture"
"T82.111A","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of cardiac pulse generator (battery), initial encounter"
"S65.309A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of deep palmar arch of unspecified hand, initial encounter"
"T82.111D","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of cardiac pulse generator (battery), subsequent encounter"
"S65.309D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of deep palmar arch of unspecified hand, subsequent encounter"
"S65.309S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of deep palmar arch of unspecified hand, sequela"
"T82.110S","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of cardiac electrode, sequela"
"T82.110A","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of cardiac electrode, initial encounter"
"V86.33XD","External causes of morbidity","Transport accidents","-","-","Unspecified occupant of dune buggy injured in traffic accident, subsequent encounter"
"V86.33XA","External causes of morbidity","Transport accidents","-","-","Unspecified occupant of dune buggy injured in traffic accident, initial encounter"
"T82.110D","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of cardiac electrode, subsequent encounter"
"V86.33XS","External causes of morbidity","Transport accidents","-","-","Unspecified occupant of dune buggy injured in traffic accident, sequela"
"W61.22XS","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other psittacines, sequela"
"S72.011H","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing"
"N80.A59","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Deep endometriosis of unspecified ureter"
"S72.011K","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with nonunion"
"S72.011J","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"S72.011M","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with nonunion"
"W61.22XA","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other psittacines, initial encounter"
"S72.011N","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"N80.A53","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Deep endometriosis of bilateral ureters"
"S72.011A","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, initial encounter for closed fracture"
"N80.A52","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Deep endometriosis of left ureter"
"N80.A51","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Deep endometriosis of right ureter"
"S72.011C","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"S72.011B","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, initial encounter for open fracture type I or II"
"W61.22XD","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other psittacines, subsequent encounter"
"S72.011E","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with routine healing"
"S72.011D","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with routine healing"
"S72.011G","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with delayed healing"
"S72.011F","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"H20.012","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Primary iridocyclitis, left eye"
"H20.011","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Primary iridocyclitis, right eye"
"H20.013","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Primary iridocyclitis, bilateral"
"X99.8XXA","External causes of morbidity","Assault","-","-","Assault by other sharp object, initial encounter"
"N80.A49","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Superficial endometriosis of unspecified ureter"
"T82.111S","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of cardiac pulse generator (battery), sequela"
"N80.A43","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Superficial endometriosis of bilateral ureters"
"N80.A42","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Superficial endometriosis of left ureter"
"N80.A41","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Superficial endometriosis of right ureter"
"H20.019","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Iridocyclitis","-","Primary iridocyclitis, unspecified eye"
"X99.8XXS","External causes of morbidity","Assault","-","-","Assault by other sharp object, sequela"
"T24.202S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of left lower limb, except ankle and foot, sequela"
"T24.202A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of left lower limb, except ankle and foot, initial encounter"
"X99.8XXD","External causes of morbidity","Assault","-","-","Assault by other sharp object, subsequent encounter"
"M84.676P","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, unspecified foot, subsequent encounter for fracture with malunion"
"M84.676S","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, unspecified foot, sequela"
"S36.428A","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of other part of small intestine, initial encounter"
"T24.202D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of left lower limb, except ankle and foot, subsequent encounter"
"M84.676D","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, unspecified foot, subsequent encounter for fracture with routine healing"
"M84.676G","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, unspecified foot, subsequent encounter for fracture with delayed healing"
"M84.676A","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, unspecified foot, initial encounter for fracture"
"T24.201S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of right lower limb, except ankle and foot, sequela"
"M84.676K","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, unspecified foot, subsequent encounter for fracture with nonunion"
"M84.675S","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, left foot, sequela"
"D89.89","Diseases of the blood and blood-forming organs","Certain disorders involving the immune mechanism","-","-","Other specified disorders involving the immune mechanism, not elsewhere classified"
"T24.201A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of right lower limb, except ankle and foot, initial encounter"
"M84.675P","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in other disease, left foot, subsequent encounter for fracture with malunion"
"D89.82","Diseases of the blood and blood-forming organs","Certain disorders involving the immune mechanism","-","-","Autoimmune lymphoproliferative syndrome [ALPS]"
"D89.84","Diseases of the blood and blood-forming organs","Certain disorders involving the immune mechanism","-","-","IgG4-related disease"
"T24.201D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of right lower limb, except ankle and foot, subsequent encounter"
"S43.112A","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Subluxation of left acromioclavicular joint, initial encounter"
"S36.420A","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of duodenum, initial encounter"
"S43.112D","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Subluxation of left acromioclavicular joint, subsequent encounter"
"V74.1XXS","External causes of morbidity","Transport accidents","-","-","Passenger on bus injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
"S36.420D","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of duodenum, subsequent encounter"
"S43.112S","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Subluxation of left acromioclavicular joint, sequela"
"V74.1XXD","External causes of morbidity","Transport accidents","-","-","Passenger on bus injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
"S36.420S","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of duodenum, sequela"
"V74.1XXA","External causes of morbidity","Transport accidents","-","-","Passenger on bus injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
"S43.111D","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Subluxation of right acromioclavicular joint, subsequent encounter"
"T17.518S","Injury, poisoning and certain other consequences of external causes","Effects of foreign body entering through natural orifice","-","-","Gastric contents in bronchus causing other injury, sequela"
"S43.111A","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Subluxation of right acromioclavicular joint, initial encounter"
"S72.012R","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"S72.012Q","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with malunion"
"V04.90XS","External causes of morbidity","Transport accidents","-","-","Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela"
"V24.99XS","External causes of morbidity","Transport accidents","-","-","Unspecified rider of other motorcycle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
"S72.012S","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, sequela"
"T82.119S","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of unspecified cardiac electronic device, sequela"
"T84.63XS","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Infection and inflammatory reaction due to internal fixation device of spine, sequela"
"S43.111S","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Subluxation of right acromioclavicular joint, sequela"
"T82.119A","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of unspecified cardiac electronic device, initial encounter"
"T84.63XA","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Infection and inflammatory reaction due to internal fixation device of spine, initial encounter"
"V24.99XD","External causes of morbidity","Transport accidents","-","-","Unspecified rider of other motorcycle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
"T82.119D","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of unspecified cardiac electronic device, subsequent encounter"
"T84.63XD","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Infection and inflammatory reaction due to internal fixation device of spine, subsequent encounter"
"V36.0XXA","External causes of morbidity","Transport accidents","-","-","Driver of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
"V24.99XA","External causes of morbidity","Transport accidents","-","-","Unspecified rider of other motorcycle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
"S72.011Q","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type I or II with malunion"
"S72.011P","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with malunion"
"S72.011S","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, sequela"
"T82.118S","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of other cardiac electronic device, sequela"
"S72.011R","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"V36.0XXD","External causes of morbidity","Transport accidents","-","-","Driver of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter"
"S72.012J","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"N80.A69","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Endometriosis of unspecified ureter, unspecified depth"
"S72.012K","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with nonunion"
"T17.518D","Injury, poisoning and certain other consequences of external causes","Effects of foreign body entering through natural orifice","-","-","Gastric contents in bronchus causing other injury, subsequent encounter"
"S72.012N","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"S72.012M","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with nonunion"
"S72.012P","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with malunion"
"T17.518A","Injury, poisoning and certain other consequences of external causes","Effects of foreign body entering through natural orifice","-","-","Gastric contents in bronchus causing other injury, initial encounter"
"S72.012B","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, initial encounter for open fracture type I or II"
"T82.118A","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of other cardiac electronic device, initial encounter"
"V04.90XD","External causes of morbidity","Transport accidents","-","-","Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter"
"N80.A63","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Endometriosis of bilateral ureters, unspecified depth"
"S72.012A","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, initial encounter for closed fracture"
"N80.A62","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Endometriosis of left ureter, unspecified depth"
"S72.012D","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with routine healing"
"N80.A61","Diseases of the genitourinary system","Noninflammatory disorders of female genital tract","-","-","Endometriosis of right ureter, unspecified depth"
"S72.012C","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"V04.90XA","External causes of morbidity","Transport accidents","-","-","Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter"
"S72.012F","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"S72.012E","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with routine healing"
"T82.118D","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Breakdown (mechanical) of other cardiac electronic device, subsequent encounter"
"S72.012H","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
"S72.012G","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified intracapsular fracture of left femur, subsequent encounter for closed fracture with delayed healing"
"V36.0XXS","External causes of morbidity","Transport accidents","-","-","Driver of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident, sequela"
"Z59.19","Factors influencing health status and contact with health services","Persons with potential health hazards related to socioeconomic and psychosocial circumstances","-","-","Other inadequate housing"
"S60.812S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Abrasion of left wrist, sequela"
"Z59.12","Factors influencing health status and contact with health services","Persons with potential health hazards related to socioeconomic and psychosocial circumstances","-","-","Inadequate housing utilities"
"Z59.11","Factors influencing health status and contact with health services","Persons with potential health hazards related to socioeconomic and psychosocial circumstances","-","-","Inadequate housing environmental temperature"
"T24.209A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of unspecified site of unspecified lower limb, except ankle and foot, initial encounter"
"S60.812D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Abrasion of left wrist, subsequent encounter"
"S60.812A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Abrasion of left wrist, initial encounter"
"Z96.691","Factors influencing health status and contact with health services","Persons with potential health hazards related to family and personal history and certain conditions influencing health status","-","-","Finger-joint replacement of right hand"
"Z59.10","Factors influencing health status and contact with health services","Persons with potential health hazards related to socioeconomic and psychosocial circumstances","-","-","Inadequate housing, unspecified"
"Z96.693","Factors influencing health status and contact with health services","Persons with potential health hazards related to family and personal history and certain conditions influencing health status","-","-","Finger-joint replacement, bilateral"
"Z96.692","Factors influencing health status and contact with health services","Persons with potential health hazards related to family and personal history and certain conditions influencing health status","-","-","Finger-joint replacement of left hand"
"Z96.698","Factors influencing health status and contact with health services","Persons with potential health hazards related to family and personal history and certain conditions influencing health status","-","-","Presence of other orthopedic joint implants"
"F50.9","Mental, Behavioral and Neurodevelopmental disorders","Behavioral syndromes associated with physiological disturbances and physical factors","Eating disorders","-","Eating disorder, unspecified"
"T42.72XS","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, intentional self-harm, sequela"
"O31.21X5","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 5"
"O31.21X4","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 4"
"O31.21X3","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 3"
"O31.21X2","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 2"
"O31.21X1","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, fetus 1"
"O31.21X0","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Continuing pregnancy after intrauterine death of one fetus or more, first trimester, not applicable or unspecified"
